"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC76_Pl3",35961.7116657155,"mBHI","FecesOnly","Stirred","48","R1","mBHI_FecesOnly_Stirred_48"
"repBC77_Pl1",26061.3594385988,"Schaedler","Quercetin","Stirred","48","R2","Schaedler_Quercetin_Stirred_48"
"repBC77_Pl2",23300.4696234314,"GAM","DMSOControl","Stirred","48","R2","GAM_DMSOControl_Stirred_48"
"repBC77_Pl3",23174.6304436317,"mBHI","FecesOnly","Stirred","48","R2","mBHI_FecesOnly_Stirred_48"
"repBC78_Pl1",93474.2014454475,"Schaedler","Quercetin","Stirred","48","R3","Schaedler_Quercetin_Stirred_48"
"repBC78_Pl2",58986.8380719533,"GAM","DMSOControl","Stirred","48","R3","GAM_DMSOControl_Stirred_48"
"repBC78_Pl3",37243.4426278568,"mBHI","FecesOnly","Stirred","48","R3","mBHI_FecesOnly_Stirred_48"
"repBC79_Pl1",38657.6123996168,"Schaedler","CGA","Stirred","48","R1","Schaedler_CGA_Stirred_48"
"repBC79_Pl2",35987.1705035352,"GAM","WaterControl","Stirred","48","R1","GAM_WaterControl_Stirred_48"
"repBC80_Pl1",51755.7680835073,"Schaedler","CGA","Stirred","48","R2","Schaedler_CGA_Stirred_48"
